#$Id: GIFColourLUTv3.txt, v0.200000 2017-02-22 11:20 created by noxtoby using GIFColourLUT.m Exp $

#No.	Name                                                        	R    G    B    A  
  0	Non-Brain-Outer-Tissue                                      	0    0    0    0
  1	NonBrain-Low                                                	0    0    0    0
  2	NonBrain-Mid                                                	0    0    0    0
  3	NonBrain-High                                               	49   204  49   0
  4	Non-ventricular-CSF                                         	254  159  121  0
  5	3rd-Ventricle                                               	203  181  141  0
 12	4th-Ventricle                                               	41   203  163  0
 16	5th-Ventricle                                               	119  189  149  0
 24	Right-Accumbens-Area                                        	254  164  0    0
 31	Left-Accumbens-Area                                         	254  164  0    0
 32	Right-Amygdala                                              	102  254  254  0
 33	Left-Amygdala                                               	102  254  254  0
 35	Pons                                                        	102  254  254  0
 36	Brain-Stem                                                  	118  158  175  0
 37	Right-Caudate                                               	121  185  219  0
 38	Left-Caudate                                                	121  185  219  0
 39	Right-Cerebellum-Exterior                                   	95   203  95   0
 40	Left-Cerebellum-Exterior                                    	95   203  95   0
 41	Right-Cerebellum-White-Matter                               	219  247  163  0
 42	Left-Cerebellum-White-Matter                                	219  247  163  0
 43	Right-Cerebral-Exterior                                     	204  61   77   0
 44	Left-Cerebral-Exterior                                      	204  61   77   0
 47	3rd-Ventricle-(Posterior-part)                              	59   59   59   0
 48	Right-Hippocampus                                           	219  215  19   0
 49	Left-Hippocampus                                            	219  215  19   0
 50	Right-Inf-Lat-Vent                                          	195  57   249  0
 51	Left-Inf-Lat-Vent                                           	195  57   249  0
 52	Right-Lateral-Ventricle                                     	119  17   133  0
 53	Left-Lateral-Ventricle                                      	119  17   133  0
 54	Right-Lesion                                                	254  164  0    0
 55	Left-Lesion                                                 	254  164  0    0
 56	Right-Pallidum                                              	11   47   254  0
 57	Left-Pallidum                                               	11   47   254  0
 58	Right-Putamen                                               	235  12   175  0
 59	Left-Putamen                                                	235  12   175  0
 60	Right-Thalamus-Proper                                       	0    117  13   0
 61	Left-Thalamus-Proper                                        	0    117  13   0
 62	Right-Ventral-DC                                            	164  41   41   0
 63	Left-Ventral-DC                                             	164  41   41   0
 64	Right-vessel                                                	159  31   239  0
 65	Left-vessel                                                 	159  31   239  0
 66	Right-Ventricular-Lining                                    	79   195  97   0
 67	Left-Ventricular-Lining                                     	79   195  97   0
 70	Optic-Chiasm                                                	254  254  254  0
 72	Cerebellar-Vermal-Lobules-I-V                               	183  236  193  0
 73	Cerebellar-Vermal-Lobules-VI-VII                            	179  230  249  0
 74	Cerebellar-Vermal-Lobules-VIII-X                            	224  182  230  0
 76	Left-Basal-Forebrain                                        	179  179  179  0
 77	Right-Basal-Forebrain                                       	179  179  179  0
 81	Right-Temporal-White-Matter                                 	159  31   239  0
 82	Right-Insula-White-Matter                                   	254  98   34   0
 83	Right-Cingulate-White-Matter                                	254  0    254  0
 84	Right-Frontal-White-Matter                                  	254  164  0    0
 85	Right-Occipital-White-Matter                                	0    205  208  0
 86	Right-Parietal-White-Matter                                 	66   67   216  0
 87	Corpus-Callosum                                             	0    159  95   0
 89	Left-Temporal-White-Matter                                  	237  91   65   0
 90	Left-Insula-White-Matter                                    	101  152  48   0
 91	Left-Cingulate-White-Matter                                 	159  16   158  0
 92	Left-Frontal-White-Matter                                   	24   160  160  0
 93	Left-Occipital-White-Matter                                 	156  28   28   0
 94	Left-Parietal-White-Matter                                  	156  28   28   0
 96	Right-Claustrum                                             	0    0    0    0
 97	Left-Claustrum                                              	0    0    0    0
101	Right-ACgG-anterior-cingulate-gyrus                         	254  61   149  0
102	Left-ACgG-anterior-cingulate-gyrus                          	254  61   149  0
103	Right-AIns-anterior-insula                                  	159  81   44   0
104	Left-AIns-anterior-insula                                   	159  81   44   0
105	Right-AOrG-anterior-orbital-gyrus                           	164  41   41   0
106	Left-AOrG-anterior-orbital-gyrus                            	164  41   41   0
107	Right-AnG-angular-gyrus                                     	204  90   68   0
108	Left-AnG-angular-gyrus                                      	204  90   68   0
109	Right-Calc-calcarine-cortex                                 	99   148  236  0
110	Left-Calc-calcarine-cortex                                  	99   148  236  0
113	Right-CO-central-operculum                                  	134  205  234  0
114	Left-CO-central-operculum                                   	134  205  234  0
115	Right-Cun-cuneus                                            	249  127  113  0
116	Left-Cun-cuneus                                             	249  127  113  0
117	Right-Ent-entorhinal-area                                   	254  254  0    0
118	Left-Ent-entorhinal-area                                    	254  254  0    0
119	Right-FO-frontal-operculum                                  	220  159  220  0
120	Left-FO-frontal-operculum                                   	220  159  220  0
121	Right-FRP-frontal-pole                                      	0    237  0    0
122	Left-FRP-frontal-pole                                       	0    237  0    0
123	Right-FuG-fusiform-gyrus                                    	204  91   91   0
124	Left-FuG-fusiform-gyrus                                     	204  91   91   0
125	Right-GRe-gyrus-rectus                                      	175  47   95   0
126	Left-GRe-gyrus-rectus                                       	175  47   95   0
129	Right-IOG-inferior-occipital-gyrus                          	151  250  151  0
130	Left-IOG-inferior-occipital-gyrus                           	151  250  151  0
133	Right-ITG-inferior-temporal-gyrus                           	49   204  49   0
134	Left-ITG-inferior-temporal-gyrus                            	49   204  49   0
135	Right-LiG-lingual-gyrus                                     	0    99   0    0
136	Left-LiG-lingual-gyrus                                      	0    99   0    0
137	Right-LOrG-lateral-orbital-gyrus                            	172  215  229  0
138	Left-LOrG-lateral-orbital-gyrus                             	172  215  229  0
139	Right-MCgG-middle-cingulate-gyrus                           	152  49   203  0
140	Left-MCgG-middle-cingulate-gyrus                            	152  49   203  0
141	Right-MFC-medial-frontal-cortex                             	159  31   239  0
142	Left-MFC-medial-frontal-cortex                              	159  31   239  0
143	Right-MFG-middle-frontal-gyrus                              	0    205  208  0
144	Left-MFG-middle-frontal-gyrus                               	0    205  208  0
145	Right-MOG-middle-occipital-gyrus                            	50   49   134  0
146	Left-MOG-middle-occipital-gyrus                             	50   49   134  0
147	Right-MOrG-medial-orbital-gyrus                             	172  254  46   0
148	Left-MOrG-medial-orbital-gyrus                              	172  254  46   0
149	Right-MPoG-postcentral-gyrus-medial-segment                 	121  134  49   0
150	Left-MPoG-postcentral-gyrus-medial-segment                  	121  134  49   0
151	Right-MPrG-precentral-gyrus-medial-segment                  	134  49   73   0
152	Left-MPrG-precentral-gyrus-medial-segment                   	134  49   73   0
153	Right-MSFG-superior-frontal-gyrus-medial-segment            	217  111  213  0
154	Left-MSFG-superior-frontal-gyrus-medial-segment             	217  111  213  0
155	Right-MTG-middle-temporal-gyrus                             	239  229  139  0
156	Left-MTG-middle-temporal-gyrus                              	239  229  139  0
157	Right-OCP-occipital-pole                                    	254  254  0    0
158	Left-OCP-occipital-pole                                     	254  254  0    0
161	Right-OFuG-occipital-fusiform-gyrus                         	0    254  254  0
162	Left-OFuG-occipital-fusiform-gyrus                          	0    254  254  0
163	Right-OpIFG-opercular-part-of-the-inferior-frontal-gyrus    	99   49   99   0
164	Left-OpIFG-opercular-part-of-the-inferior-frontal-gyrus     	99   49   99   0
165	Right-OrIFG-orbital-part-of-the-inferior-frontal-gyrus      	177  33   33   0
166	Left-OrIFG-orbital-part-of-the-inferior-frontal-gyrus       	177  33   33   0
167	Right-PCgG-posterior-cingulate-gyrus                        	254  0    254  0
168	Left-PCgG-posterior-cingulate-gyrus                         	254  0    254  0
169	Right-PCu-precuneus                                         	38   63   138  0
170	Left-PCu-precuneus                                          	38   63   138  0
171	Right-PHG-parahippocampal-gyrus                             	254  98   70   0
172	Left-PHG-parahippocampal-gyrus                              	254  98   70   0
173	Right-PIns-posterior-insula                                 	254  68   0    0
174	Left-PIns-posterior-insula                                  	254  68   0    0
175	Right-PO-parietal-operculum                                 	209  179  139  0
176	Left-PO-parietal-operculum                                  	209  179  139  0
177	Right-PoG-postcentral-gyrus                                 	0    254  126  0
178	Left-PoG-postcentral-gyrus                                  	0    254  126  0
179	Right-POrG-posterior-orbital-gyrus                          	73   154  59   0
180	Left-POrG-posterior-orbital-gyrus                           	73   154  59   0
181	Right-PP-planum-polare                                      	254  214  0    0
182	Left-PP-planum-polare                                       	254  214  0    0
183	Right-PrG-precentral-gyrus                                  	237  0    0    0
184	Left-PrG-precentral-gyrus                                   	237  0    0    0
185	Right-PT-planum-temporale                                   	45   138  86   0
186	Left-PT-planum-temporale                                    	45   138  86   0
187	Right-SCA-subcallosal-area                                  	237  200  0    0
188	Left-SCA-subcallosal-area                                   	237  200  0    0
191	Right-SFG-superior-frontal-gyrus                            	254  217  184  0
192	Left-SFG-superior-frontal-gyrus                             	254  217  184  0
193	Right-SMC-supplementary-motor-cortex                        	237  129  237  0
194	Left-SMC-supplementary-motor-cortex                         	237  129  237  0
195	Right-SMG-supramarginal-gyrus                               	254  164  0    0
196	Left-SMG-supramarginal-gyrus                                	254  164  0    0
197	Right-SOG-superior-occipital-gyrus                          	254  191  202  0
198	Left-SOG-superior-occipital-gyrus                           	254  191  202  0
199	Right-SPL-superior-parietal-lobule                          	244  221  178  0
200	Left-SPL-superior-parietal-lobule                           	244  221  178  0
201	Right-STG-superior-temporal-gyrus                           	207  31   143  0
202	Left-STG-superior-temporal-gyrus                            	207  31   143  0
203	Right-TMP-temporal-pole                                     	33   138  33   0
204	Left-TMP-temporal-pole                                      	33   138  33   0
205	Right-TrIFG-triangular-part-of-the-inferior-frontal-gyrus   	126  254  211  0
206	Left-TrIFG-triangular-part-of-the-inferior-frontal-gyrus    	126  254  211  0
207	Right-TTG-transverse-temporal-gyrus                         	0    0    127  0
208	Left-TTG-transverse-temporal-gyrus                          	0    0    127  0
